business_name,category,area,phone,whatsapp,instagram,website,cid,rating,amenities,desc_len,auto_desc
Bio Mercado Puerto Viejo,shopping,Puerto Viejo,Y,N,N,N,Y,4.8,0,100,
Centro de Carnes Canada,shopping,Puerto Viejo,Y,N,Y,N,Y,4.7,0,41,
El Diamante,shopping,Puerto Viejo,Y,N,Y,N,Y,4.0,0,67,
El Duende Gourmet,shopping,Playa Chiquita,Y,N,Y,N,Y,4.3,0,91,
Mariscos Mopri,shopping,Puerto Viejo,Y,Y,Y,Y,Y,4.2,0,223,
Mercadito Puerto Viejo,shopping,Puerto Viejo,Y,N,Y,N,Y,3.3,0,42,
Namú Ecotienda Orgánica,shopping,Puerto Viejo,Y,Y,N,N,Y,4.9,0,52,
Super Banana Gourmet Market,shopping,Playa Negra,N,N,Y,N,Y,4.4,0,87,
Super Negro Cocles,shopping,Cocles,N,N,N,N,Y,4.7,0,77,
Super Negro Hone Creek,shopping,Hone Creek,Y,N,N,N,Y,N,0,61,
Value Mart Puerto Viejo,shopping,Puerto Viejo,Y,N,Y,N,Y,3.6,0,44,
Automotriz Danny,services,Puerto Viejo,Y,N,Y,N,Y,4.6,0,116,
Ecolavacar del Caribe,services,Hone Creek,Y,N,N,N,Y,3.8,0,97,
Casa de la Cultura,services,Puerto Viejo,Y,N,Y,N,Y,4.5,0,104,
La Casa del Coral,services,Cocles,N,N,N,Y,Y,5.0,0,60,
Chamber of Tourism and Commerce Caribe Sur,services,Playa Negra,Y,N,Y,N,Y,4.2,0,96,
El Puente-The Bridge,services,Playa Negra,Y,N,Y,N,Y,4.8,0,207,
Centro Médico Aruma,services,Puerto Viejo,Y,Y,Y,N,Y,4.3,0,283,
Clínica de Especialidades Médicas San Gabriel,services,Puerto Viejo,Y,Y,N,N,Y,3.8,0,226,
Clínica Dental Yani,services,Puerto Viejo,Y,Y,Y,N,Y,3.0,0,38,
Hone Creek Clinic,services,Hone Creek,Y,N,Y,N,Y,3.6,0,38,
Laboratorio Bioclinic,services,Puerto Viejo,Y,Y,Y,N,Y,3.9,0,53,
Laboratorio Clínico Leysa,services,Playa Negra,Y,N,Y,N,Y,5.0,0,199,
We Do Laundry,services,Hone Creek,Y,N,Y,Y,Y,N,0,85,
Caribe Love Tattoo,services,Puerto Viejo,Y,Y,Y,N,Y,4.9,0,77,
Earth to Skin,services,Puerto Viejo,N,N,Y,N,Y,4.5,0,247,
Kona Wellness Shala,services,Cocles,Y,Y,Y,N,Y,4.9,0,59,
Pure Love Liberation,services,Cocles,Y,N,N,N,Y,N,0,415,
Svastha Yoga & Ayurveda Café,services,Puerto Viejo,Y,N,Y,N,Y,N,0,254,
Puerto Viejo Dogs,services,Puerto Viejo,Y,Y,Y,N,Y,5.0,0,500,
Ciclo Tuanis,services,Puerto Viejo,Y,N,Y,N,Y,3.9,0,64,
Puerto Viejo Bike Rentals,services,Puerto Viejo,Y,N,Y,N,Y,4.6,0,111,
Pura Ride by Ciclo Cocles,services,Cocles,Y,Y,Y,N,Y,4.1,0,275,
Centro Educativo Playa Chiquita Punta Uva,services,Playa Chiquita,Y,N,N,Y,Y,N,0,373,
Proyecto Educativo Semillas de Paz,services,Playa Chiquita,Y,Y,N,N,Y,N,0,330,
Veronica's Place Cooking Class,services,Cocles,Y,N,Y,N,Y,5.0,0,236,
Sea Breeze Events,services,Puerto Viejo,N,N,Y,Y,Y,3.7,0,57,
Black Shack Surf School,services,Cocles,Y,N,N,N,Y,4.9,0,425,
Surf Meds Caribe,services,Cocles,Y,N,N,Y,Y,4.8,0,132,
Surf the Jungle Surf School Adventures,services,Puerto Viejo,Y,Y,N,Y,Y,4.9,0,295,
