key,business_name,area,primary_category,groups,tags,attributes,review_state,conflicts,master_description,maps_parsed,maps_full_text
cid:8816532573875491055,"Kaya's Place - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,hotel,stay,hotel,bar|cabins|gym,accepted_deterministic,,True,True,True
cid:9816532667813567561,"Mecca - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,hotel,stay,hotel,gym,accepted_deterministic,,True,True,True
cid:11649313152541943974,"Olivia del Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,hotel,stay,hotel,bed-and-breakfast|gym,accepted_deterministic,,True,True,True
cid:4419914265315119799,"Perla Negra Beachfront - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,hotel,stay,bed-and-breakfast|hotel,vacation-rental,accepted_deterministic,,True,True,True
cid:10617292672602655877,"La Prometida - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,hotel,stay,hotel,gym|vacation-rental,accepted_deterministic,,True,True,True
cid:7564004912244932325,"Saranda Hotel Boutique - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,hotel,stay,hotel,bar|gym|spa,accepted_deterministic,,True,True,True
cid:13462000015508270895,"Sonora Jungle Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,hotel,stay,hotel,gym|spa,accepted_deterministic,,True,True,True
cid:2012278593659589679,"Sunshine Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,hotel,stay,hotel,gym,accepted_deterministic,,True,True,True
cid:11115647409204137584,"Villas Allen - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,hotel,stay,hotel|vacation-rental,gym|laundry,accepted_deterministic,,True,True,True
cid:1284571712904930160,"Azania Bungalows - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,hotel,bar|gym,accepted_deterministic,,True,True,True
cid:14224886783313130797,"Bambutel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,hotel,cafe|gym|vacation-rental,accepted_deterministic,,True,True,True
