cid,business,area,category,raw_amenities,kept,removed,kept_count,removed_count
13111271524723360984,Pure Jungle Spa,Puerto Viejo,services,PURE Jungle Spa; Spa y gimnasio; purejunglespa.com; Spa de masajes,Spa y gimnasio; Spa de masajes,PURE Jungle Spa; purejunglespa.com,2,2
8563195775533048594,Pure Life Sanctuary,Cocles,restaurant,Spa de masajes; PURE Jungle Spa; Spa y centro de bienestar,Spa de masajes; Spa y centro de bienestar,PURE Jungle Spa,2,1
1452058410293289943,Quinta Guarumo,Playa Negra,restaurant,María Barragán Brenes; Bed & Breakfast,Bed & Breakfast,María Barragán Brenes,1,1
9435208628058025334,"Jaguar Rescue Center - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,tour_company,huérfanos,,huérfanos,0,1
6096810839054830174,"Reggae Bar - Cahuita, Limón, Costa Rica",Cahuita,restaurant,Reggae Bar; Bar; Coco's Bar; Chao's Bar Restaurant,Bar,Reggae Bar; Coco's Bar; Chao's Bar Restaurant,1,3
15379756172704945472,"Reggae Chill - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,restaurant,Reggae Bar; Bar,Bar,Reggae Bar,1,1
2898935241958549311,"Azul Bar and Grill - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,restaurant,Azul Bar & Grill,,Azul Bar & Grill,0,1
3265602198018337523,"Restaurante Bananas - Cahuita, Limón, Costa Rica",Cahuita,restaurant,cocina; Chao's Bar Restaurant,cocina,Chao's Bar Restaurant,1,1
4015454567044906676,Restaurante Bar Tamara,Puerto Viejo,restaurant,Bar restaurante; PUERTO PIRATA TIKI BAR,Bar restaurante,PUERTO PIRATA TIKI BAR,1,1
7919869702409355075,Restaurante Nema,Puerto Viejo,restaurant,Bar; Bar tapas y más; PUERTO PIRATA TIKI BAR; Gekco Bar &Grill,Bar; Bar tapas y más,PUERTO PIRATA TIKI BAR; Gekco Bar &Grill,2,2
10690687264393434328,"Rhodes Island Cabinas - Cahuita, Limón, Costa Rica",Cahuita,hotel,Secret Garden; Incluye Wi-Fi; Incluye Wi-Fi y estacionamiento; Aire acondicionado; Se permiten mascotas,Incluye Wi-Fi; Incluye Wi-Fi y estacionamiento; Aire acondicionado; Se permiten mascotas,Secret Garden,4,1
4666775397025577928,"Casa Rio Restaurant & Bar - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,restaurant,Casa Rio Restaurant + Bar,,Casa Rio Restaurant + Bar,0,1
9113640318365374467,River Box Cocles,Playa Negra,restaurant,Gimnasio; espacio; Baru Chiampan; Beach Gym; Jhosmar Gym,Gimnasio; espacio,Baru Chiampan; Beach Gym; Jhosmar Gym,2,3
4666775397025577928,"Casa Rio Restaurant & Bar - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,restaurant,Casa Rio Restaurant + Bar,,Casa Rio Restaurant + Bar,0,1
15009365918254941244,Salsa Brava Beach Bar,Puerto Viejo,restaurant,Cocina latinoamericana; PUERTO PIRATA TIKI BAR,Cocina latinoamericana,PUERTO PIRATA TIKI BAR,1,1
2791131175093117206,"Shiosai Retreat Cabins - Gandoca, Limón, Costa Rica",Gandoca,hotel,Poolside | Beach Access | Near Dining; Wi-Fi; Desayuno pago; Estacionamiento gratuito; Se permiten mascotas; Libre de humo,Wi-Fi; Desayuno pago; Estacionamiento gratuito; Se permiten mascotas; Libre de humo,Poolside | Beach Access | Near Dining,5,1
9015241096564614926,"Sobre las Olas by Gondwana - Cahuita, Limón, Costa Rica",Cahuita,restaurant,Espagueti,,Espagueti,0,1
12096131897059550769,"Soda Chang - Sixaola, Limón, Costa Rica",Sixaola,restaurant,Steven Barrantes valerin; Bar Keyshel,Bar Keyshel,Steven Barrantes valerin,1,1
9935585180743716856,"Soda Kawe - Cahuita, Limón, Costa Rica",Cahuita,restaurant,Restaurante Éwa & Lounge Bar,,Restaurante Éwa & Lounge Bar,0,1
17548396689353983180,"Soda Marta - Sixaola, Limón, Costa Rica",Sixaola,restaurant,buena atención rica comida y barata.; Soda Rest & Bar Mari; Bar Keyshel,Bar Keyshel,buena atención rica comida y barata.; Soda Rest & Bar Mari,1,2
439116677363621136,Spanish by the Sea,Puerto Viejo,services,Spanish by the Sea - Puerto Viejo; spanishatlocations.com; Spanish School PURA VIDA; Eñe Spanish Teachers; Spanish Lessons With Dana,,Spanish by the Sea - Puerto Viejo; spanishatlocations.com; Spanish School PURA VIDA; Eñe Spanish Teachers; Spanish Lessons With Dana,0,5
15049167550943815650,Spanish School Pura Vida,Puerto Viejo,services,Spanish School PURA VIDA; spanishschool-costarica.com; aprender español; cocina; Spanish by the Sea - Puerto Viejo; Spanish Lessons With Dana; Eñe Spanish Teachers,cocina,Spanish School PURA VIDA; spanishschool-costarica.com; aprender español; Spanish by the Sea - Puerto Viejo; Spanish Lessons With Dana; Eñe Spanish Teachers,1,6
9500835097815952703,"Spicy Coconut - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,restaurant,Zaika Indian Cuisine Bar & Grill,,Zaika Indian Cuisine Bar & Grill,0,1
7364638263800075443,"Sport Body Gym - Cahuita, Limón, Costa Rica",Cahuita,services,Gimnasio; barra; aire acondicionado; Gimnasio Atlantida; Beach Gym; Barras workout spot; Jhosmar Gym,Gimnasio; aire acondicionado; Gimnasio Atlantida,barra; Beach Gym; Barras workout spot; Jhosmar Gym,3,4
1491509510148377065,"Super Negro Cahuita - Cahuita, Limón, Costa Rica",Cahuita,shopping,Stefano Camassa,,Stefano Camassa,0,1
4633778847403409813,"Super SK - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,shopping,accesibles; es bueno bonito y barato super recomendado,accesibles,es bueno bonito y barato super recomendado,1,1
6639028591976267928,"Super Vaz 2 - Cahuita, Limón, Costa Rica",Cahuita,shopping,baraja,,baraja,0,1
1958769090411140405,"Surya Spa - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,services,Surya spa by Cariblue; Spa y gimnasio; PURE Jungle Spa; Spa y centro de bienestar; Spa de masajes; Spa,Spa y gimnasio; Spa y centro de bienestar; Spa de masajes; Spa,Surya spa by Cariblue; PURE Jungle Spa,4,2
1242408439996904931,Cacao Huasi,Puerto Viejo,restaurant,barrita de chocolate; Increíble espacio frente al mar .,,barrita de chocolate; Increíble espacio frente al mar .,0,2
15602414082115305191,"Terrazas del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,Desayuno incluido; terrazasdelcaribe.com; Wi-Fi gratis; Estacionamiento gratuito; Accesible; Piscina al aire libre; Aire acondicionado; Se permiten mascotas; Cocina en algunas habitaciones; Transporte desde/hacia el aeropuerto; Gimnasio; Bar,Desayuno incluido; Wi-Fi gratis; Estacionamiento gratuito; Accesible; Piscina al aire libre; Aire acondicionado; Se permiten mascotas; Cocina en algunas habitaciones; Transporte desde/hacia el aeropuerto; Gimnasio; Bar,terrazasdelcaribe.com,11,1
10848512872328092857,"The Mimosas Container Homes - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,The Mimosas - unique container homes w' Pool,,The Mimosas - unique container homes w' Pool,0,1
4697431774628734956,The Point Smash Burgers,Puerto Viejo,restaurant,Hamburguesa barbacoa; Chao's Bar Restaurant,,Hamburguesa barbacoa; Chao's Bar Restaurant,0,2
10205893883698739713,The Reillder Castillo Project,Puerto Viejo,restaurant,Virtual Space CR - 3D Photography,,Virtual Space CR - 3D Photography,0,1
6474159768299184830,"Three Monkeys - Cahuita, Limón, Costa Rica",Cahuita,vacation_rental,Bed & Breakfast; piscina; cocinas,Bed & Breakfast; piscina,cocinas,2,1
4586270756459627380,TRIBU functional training,Puerto Viejo,restaurant,Gimnasio; Beach Gym; JAB Club Gym; Barras workout spot,Gimnasio,Beach Gym; JAB Club Gym; Barras workout spot,1,3
3600435867559147140,Tubolwak Lodge y Garden,Cocles,hotel,Tubolwak Lodge y Garden; Bed & Breakfast,Bed & Breakfast,Tubolwak Lodge y Garden,1,1
9838950680602433731,"Uva Blue Jungle Villas - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,✔ Private Pools; ✔ Tropical Gardens; Cocina; Wi-Fi gratis; Desayuno; Estacionamiento gratuito; Accesible; Piscina; Aire acondicionado; Se permiten mascotas; Cocina en todas las habitaciones; Transporte desde/hacia el aeropuerto,Cocina; Wi-Fi gratis; Desayuno; Estacionamiento gratuito; Accesible; Piscina; Aire acondicionado; Se permiten mascotas; Cocina en todas las habitaciones; Transporte desde/hacia el aeropuerto,✔ Private Pools; ✔ Tropical Gardens,10,2
12266159891992406171,Villa Cerise,Playa Negra,hotel,cocina; aire acondicionado; refrigerador,cocina; aire acondicionado,refrigerador,2,1
9838950680602433731,"Uva Blue Jungle Villas - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,✔ Private Pools; ✔ Tropical Gardens; Cocina; Wi-Fi gratis; Desayuno; Estacionamiento gratuito; Accesible; Piscina; Aire acondicionado; Se permiten mascotas; Cocina en todas las habitaciones; Transporte desde/hacia el aeropuerto,Cocina; Wi-Fi gratis; Desayuno; Estacionamiento gratuito; Accesible; Piscina; Aire acondicionado; Se permiten mascotas; Cocina en todas las habitaciones; Transporte desde/hacia el aeropuerto,✔ Private Pools; ✔ Tropical Gardens,10,2
9838950680602433731,"Uva Blue Jungle Villas - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,✔ Private Pools; ✔ Tropical Gardens; Cocina; Wi-Fi gratis; Desayuno; Estacionamiento gratuito; Accesible; Piscina; Aire acondicionado; Se permiten mascotas; Cocina en todas las habitaciones; Transporte desde/hacia el aeropuerto,Cocina; Wi-Fi gratis; Desayuno; Estacionamiento gratuito; Accesible; Piscina; Aire acondicionado; Se permiten mascotas; Cocina en todas las habitaciones; Transporte desde/hacia el aeropuerto,✔ Private Pools; ✔ Tropical Gardens,10,2
3491417544238941664,"Villas Banana Verde - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,Puerto Viejo Club Villas & Pool,,Puerto Viejo Club Villas & Pool,0,1
2206313602652580226,"Villas Piña - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,Puerto Viejo Club Villas & Pool; Wi-Fi gratis; Desayuno incluido; Estacionamiento gratuito; Accesible; Piscina al aire libre; Aire acondicionado; Se permiten mascotas; Transporte desde/hacia el aeropuerto; Gimnasio; Libre de humo,Wi-Fi gratis; Desayuno incluido; Estacionamiento gratuito; Accesible; Piscina al aire libre; Aire acondicionado; Se permiten mascotas; Transporte desde/hacia el aeropuerto; Gimnasio; Libre de humo,Puerto Viejo Club Villas & Pool,10,1
1110138628950468520,Vindas,Playa Negra,restaurant,Parque infantil,,Parque infantil,0,1
12543675730712426029,Vol'Air Dance Studio,Puerto Viejo,services,selina barrios; Gimnasio,Gimnasio,selina barrios,1,1
8840035579056537434,Washboard,Puerto Viejo,services,wifi; Lavandería / Laundry Sweet Calypso; Jungle Laundry,wifi,Lavandería / Laundry Sweet Calypso; Jungle Laundry,1,2
8840035579056537434,Washboard,Puerto Viejo,services,wifi; Lavandería / Laundry Sweet Calypso; Jungle Laundry,wifi,Lavandería / Laundry Sweet Calypso; Jungle Laundry,1,2
4581732904956358033,"Zaika Bar & Grill - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,restaurant,Zaika Indian Cuisine Bar & Grill; Cocina latinoamericana,Cocina latinoamericana,Zaika Indian Cuisine Bar & Grill,1,1
2539549004979561790,El Tucan Jungle Lodge,Cocles,hotel,"Bed & Breakfast; Incluye Wi-Fi; Incluye Wi-Fi y estacionamiento; Incluye desayuno, Wi-Fi y estacionamiento; Physis Caribbean Bed & Breakfast Hotel","Bed & Breakfast; Incluye Wi-Fi; Incluye Wi-Fi y estacionamiento; Incluye desayuno, Wi-Fi y estacionamiento",Physis Caribbean Bed & Breakfast Hotel,4,1
16016558320812834186,Italia Villas,Playa Negra,hotel,piscina; Puerto Viejo Club Villas & Pool,piscina,Puerto Viejo Club Villas & Pool,1,1
6252746693553946796,Selina Hostel Puerto Viejo,Puerto Viejo,hostel,Bárbara Rojas,,Bárbara Rojas,0,1
241301080670714226,Solo Bueno,Playa Negra,restaurant,Estefanía Barquero,,Estefanía Barquero,0,1
