business_name,category,area,google_maps_cid,group_nightlife,group_eat,group_stay,group_things-to-do,group_shopping,group_services,group_wellness,group_transport,current_groups,potential_groups
"Cabañas Cocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,2857032637458926519,,,current,,,,,,stay,stay
"Cabinas Ole Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,13369944886185180649,,context,current,,,,,,stay,stay
"Caribe Town Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,16161533908681591225,context,context,current,,,context,context,,stay,stay
"Cariblue Beach and Jungle Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,14658668036585456092,context,context,current,,,,context,,stay,stay
"Colina Secreta - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,11726717133900260893,,context,current,,,,,,stay,stay
"La Costa de Papito - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,15457918864809997738,,context,current,,,,context,,stay,stay
"Los Delfines Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,811731149839330623,,,current,,,,,,stay,stay
"Hotel Bugabutik - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,10932123085080779411,context,,current,,,context,context,,stay,stay
"La Isla Inn - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,12610196440035693725,,,current,,,context,,,stay,stay
"Lanna Ban Hotel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,1718865423614243627,,,current,,,,,,stay,stay
"Le Caméléon - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,4837747133838124638,current,current,current,,,,context,,eat|nightlife|stay,eat|nightlife|stay
"La Magia Bungalows - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,8216271918783135936,,context,current,,,,context,,stay,stay
"La Paz del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,15133962780271824116,,context,current,,,,,,stay,stay
"Physis Caribbean Bed & Breakfast - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,6927648870562475588,context,,current,,,,,,stay,stay
"Pipa Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,2503861879451247980,,context,current,,,,,,stay,stay
"Relax Natural Village - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,1359064883656104943,,context,current,,,,,,stay,stay
"Satta Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,6009775234321674954,,,current,,,,,,stay,stay
"Casa Merlin Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,5273135705751598576,,context,current,,,,,,stay,stay
"Casitas Mar y Luz - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,8515965990195848246,,context,current,,,,,,stay,stay
"Green Jungle House - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,10566257576749882719,context,context,current,context,,,,,stay,stay
"Hotel Aguas Claras - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,5319096016576692772,context,context,current,context,,context,context,,stay,stay
"Hotel Kasha - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,2789448993779357106,context,context,current,,,,,,stay,stay
"Jaguar Inn Bungalows - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,4375569377161762321,,,current,context,,,,,stay,stay
"La Kukula Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,12131830785097631441,context,context,current,context,,context,,,stay,stay
"Mar Verde Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,12618084244946677516,,,current,,,,,,stay,stay
"Namuwoki Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,7633661990399056727,,context,current,,,,,,stay,stay
"El Nido Jungle Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,17996754399669659267,context,context,current,,,,,,stay,stay
"Shawandha Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,11584809782208466783,,context,current,,,,,,stay,stay
"Tierra de Suenos Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,3078819024997403606,,,current,context,,context,context,,stay,stay
"Tree House Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,4964431491684239389,,,current,context,,,,,stay,stay
"Villas del Caribe - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,12050033515189885654,,context,current,,,,,,stay,stay
"Awa Beach Boutique Hotel - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",hotel,Punta Uva,5579537716284560393,context,,current,,,,,,stay,stay
"La Ceiba Nature Reserve - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",hotel,Punta Uva,1693592634910607224,,,current,suggested,,,,,stay,stay|things-to-do
"Pachamama Jungle River Lodge - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",hotel,Punta Uva,17505879167034120949,,context,current,,,,,,stay,stay
"Cabinas Kinawe - Hone Creek, Limón, Costa Rica",hotel,Hone Creek,5826733614696332728,,,current,,,,,,stay,stay
"Casa Conley Del Mar - Hone Creek, Limón, Costa Rica",hotel,Hone Creek,6599527260173115828,,context,current,,,,,,stay,stay
"Hotel Hawa - Hone Creek, Limón, Costa Rica",hotel,Hone Creek,12922727533389204233,context,context,current,,,,,,stay,stay
"Orgánico Punta Riel - Hone Creek, Limón, Costa Rica",hotel,Hone Creek,2005484154619350459,,,current,,,,,,stay,stay
"Rancho Tranquilo - Hone Creek, Limón, Costa Rica",hotel,Hone Creek,3497932895823071906,,,current,,,,,,stay,stay
"Samasati Yoga and Wellness Retreat - Hone Creek, Limón, Costa Rica",hotel,Hone Creek,2378802529330389577,,context,current,current,,context,current,,stay|things-to-do|wellness,stay|things-to-do|wellness
"Villa Mena Apartments - Hone Creek, Limón, Costa Rica",hotel,Hone Creek,2340777439094833292,,context,current,,,,,,stay,stay
Casa Wolaba,hostel,Puerto Viejo,12617501835970240553,,context,current,,,,,,stay,stay
El Clan Hostel,hostel,Puerto Viejo,5201679489523559249,context,context,current,,,,,,stay,stay
Hotel and Hostel Agapi,hostel,Puerto Viejo,7492180577056289429,context,context,current,context,,context,context,,stay,stay
Hotel Puerto Viejo,hostel,Puerto Viejo,120276160970090320,,,current,,,,,,stay,stay
Kalunay Hostel,hostel,Puerto Viejo,13549549945867962662,,context,current,,,,,,stay,stay
Oasis Beachfront Hostel,hostel,Puerto Viejo,3806869317536833401,,context,current,context,,,,,stay,stay
Pagalu Hostel,hostel,Puerto Viejo,16584181162103313991,,context,current,,,,,,stay,stay
Rocking J's Hostel,hostel,Puerto Viejo,2849080077759072513,context,context,current,context,,context,,,stay,stay
Roots Family Hostel,hostel,Puerto Viejo,15012354361205552676,,,current,,,,,,stay,stay
La Ruka Hostel,hostel,Puerto Viejo,13859346082849828188,,context,current,context,,,,,stay,stay
Soul Rebel Hostel,hostel,Puerto Viejo,1470909826947842376,,context,current,,,,,,stay,stay
La Tribu,hostel,Puerto Viejo,8557872311475311298,,context,current,,context,,,,stay,stay
"Tasty Dayz Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hostel,Cocles,8755282126859435083,context,context,current,,,,,,stay,stay
"Yuyo Huelal Totga - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hostel,Cocles,3101197989157048209,,,current,,,,,,stay,stay
"Madre Selva Jungle Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hostel,Cocles,18351627144969519384,,context,current,,,,,,stay,stay
"Playa 506 - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hostel,Cocles,14615341747601449576,context,context,current,,,,,,stay,stay
"Smile Jungle Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hostel,Cocles,15792014508348842214,,context,current,,,,,,stay,stay
Douglasville Guesthouse,vacation_rental,Puerto Viejo,16910935893526257108,,,current,,,,,,stay,stay
Caribbean Comfort,vacation_rental,Puerto Viejo,9201616901711710091,,,current,,,,,,stay,stay
Casa Arlecchino,vacation_rental,Puerto Viejo,13639343625190683419,,context,current,,,,,,stay,stay
Casa Black Chaini,vacation_rental,Puerto Viejo,5833894449865216635,,context,current,,,,,,stay,stay
Casa Kinkaju,vacation_rental,Puerto Viejo,9120865451737148097,,context,current,,,,,,stay,stay
Coconut Grove Apartamentos,vacation_rental,Puerto Viejo,10763597126474435006,,context,current,,,,,,stay,stay
Colibri Ecolodge,vacation_rental,Puerto Viejo,656242078778664441,,,current,,,,,,stay,stay
Estrellas Cabinas,vacation_rental,Puerto Viejo,,,,current,,,,,,stay,stay
"Casa Roble de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,1214008658533978760,,context,current,,,,,,stay,stay
"Villa Abejita - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,17566723912022559610,context,context,current,,,,,,stay,stay
"Villa del Mito - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,3772885646337615062,context,context,current,,,,,,stay,stay
"Magic Moon Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,7455182900583969326,,context,current,,,,,,stay,stay
"Be My Guest Cabinas - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,7206926578519386455,,,current,,,,,,stay,stay
"Blessed House - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,18318447306973081283,,context,current,,,,,,stay,stay
"Blossom Paradise Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,11364781436039210316,,context,current,context,,,suggested,,stay,stay|wellness
"Cabinas Cable Talamanca - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,7573981416846739723,,context,current,,,,,,stay,stay
"Caripro Apartments - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,265902149135749003,,,current,,,,,,stay,stay
"Casa Corazon del Mar - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,9868667004367768507,,context,current,,,,context,,stay,stay
"Casa Galim Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,4046132343523405394,,context,current,,,,,,stay,stay
"Casa Jeffrey - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,13928153996580431887,,context,current,,,,,,stay,stay
"Casa Luna Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,1455817631417694421,,context,current,,,,,,stay,stay
"Casa Ocelote - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,1855638920758597797,,context,current,,,,,,stay,stay
"Casa Selva - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,10476863127556720569,,,current,,,,context,,stay,stay
"Casa Theia - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,8382763569328813011,,context,current,,,,,,stay,stay
"Casita Kreyol - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,17447691794708739658,,context,current,,,,,,stay,stay
"Las Casitas de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,8689012956679917112,,context,current,,,,,,stay,stay
"Casitas Joanna - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,1768768766083603441,,context,current,,,,,,stay,stay
"Chimuri Beach Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,6051193694241034944,,,current,context,,context,suggested,,stay,stay|wellness
"Escondido Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,6658711880224661769,,context,current,,,,suggested,,stay,stay|wellness
"Evia Life Resort - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,18135263196931927606,,,current,,,,,,stay,stay
"El Jardin de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,10376714198650196690,,,current,,,,,,stay,stay
"The Mimosas Container Homes - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,10848512872328092857,,context,current,,,,,,stay,stay
"Puerto Viejo Club - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,10850457859079273798,,,current,,,,,,stay,stay
